Member ID,Last name,First name,Address 1,Address 2,Address 3,Address 4,Dues amount,Member type,Certification,Column13,Column14,Column15,Column16,member_id_clean,full_name,full_address,dues_clean,membership_date
100011,Tsao,Danny,27 Wu Tzu St,Tamshui 251,,Taiwan,$200 ,Professional Member,CLTD,,,,,100011,Danny Tsao,27 Wu Tzu St Tamshui 251  Taiwan ,200,3/25/2021
100012,Lei,Colleen,88 6th Avenue Teda,300457 TIANJIN,,China,$500 ,Corporate Member,None,,,,,100012,Colleen Lei,88 6th Avenue Teda 300457 TIANJIN  China ,500,10/12/2023
100013,Roth,Nancy,Hoefenstrasse 31,Muehlethal,,Switzerland,$100 ,Student Associate,CSCP,,,,,100013,Nancy Roth,Hoefenstrasse 31 Muehlethal  Switzerland 4812,100,1/11/2023
100014,Meneses Contreras,Karl-Oscar,Poniente 134 Ste. 740,02300 M�xico,DIF,Mexico,$500 ,Corporate Member,None,,,,,100014,Karl-Oscar Meneses Contreras,Poniente 134 Ste. 740 02300 M�xico DIF Mexico ,500,2/16/2021
100015,Nunez,Helmut,Andador Pinos 345,45235 Zapopan,JAL,Mexico,$200 ,Professional Member,None,,,,,100015,Helmut Nunez,Andador Pinos 345 45235 Zapopan JAL Mexico ,200,7/29/2023
100016,Fitzpatrick,Dmitry,22 Hemingford Pl,Whitby,ON,Canada,$100 ,Student Associate,CSCP,,,,,100016,Dmitry Fitzpatrick,22 Hemingford Pl Whitby ON Canada L1R 1G1,100,12/15/2007
100017,Andreu,Leya,Nevada de Colima 104,20280 Aguascalientes,,Mexico,$200 ,Professional Member,None,,,,,100017,Leya Andreu,Nevada de Colima 104 20280 Aguascalientes  Mexico ,200,3/31/2021
100018,Ramsey,Stephen,Z-Block No 59 ,Chennai TN - 600040,,India,$200 ,Professional Member,None,,,,,100018,Stephen Ramsey,Z-Block No 59  Chennai TN - 600040  India ,200,8/21/2021
100019,Xiao-Hui,Michael,Unit B-E F19 XinMei Union Square,200120 Shanghai,,China,$500 ,Corporate Member,SCOR-P,,,,,100019,Michael Xiao-Hui,Unit B-E F19 XinMei Union Square 200120 Shanghai  China ,500,3/30/2021
100020,He,Jan,5055 Heather Leigh Avenue,Mississauga,ON,Canada,$200 ,Professional Member,None,,,,,100020,Jan He,5055 Heather Leigh Avenue Mississauga ON Canada L5V 2R6,200,8/13/2021
100021,Wisner,Ray,Chemin 15F,Vernier,,Switzerland,$200 ,Professional Member,None,,,,,100021,Ray Wisner,Chemin 15F Vernier  Switzerland 1214,200,6/2/2022
100022,Denturck,Bill,Hermeslaan 7,1831 DIEGEM,,Belgium,$100 ,Student Associate,None,,,,,100022,Bill Denturck,Hermeslaan 7 1831 DIEGEM  Belgium ,100,11/29/2021
100023,Arnout,Marco,Septestraat 27,2640 MORTSEL,,Belgium,$100 ,Student Associate,CLTD,,,,,100023,Marco Arnout,Septestraat 27 2640 MORTSEL  Belgium ,100,6/30/2021
100024,Kopp,Victor,P.O. Box,4002 Basel,,Switzerland,$100 ,Student Associate,None,,,,,100024,Victor Kopp,P.O. Box 4002 Basel  Switzerland ,100,5/18/2023
100025,Villarruel Enriquez,Bep,Pez Austral 3625,45070 Guadalajara,JAL,Mexico,$200 ,Professional Member,None,,,,,100025,Bep Villarruel Enriquez,Pez Austral 3625 45070 Guadalajara JAL Mexico ,200,8/28/2021
100026,Marchant,Ren�,303 - 615 North Road,Coquitlam,BC,Canada,$200 ,Professional Member,PMP,,,,,100026,Ren� Marchant,303 - 615 North Road Coquitlam BC Canada V3J 1P1,200,6/27/2021
100027,de Alava Casado,Christophe,Emilio Arrieta 23,Pamplona,,Spain,$500 ,Corporate Member,None,,,,,100027,Christophe de Alava Casado,Emilio Arrieta 23 Pamplona  Spain 31002,500,7/13/2022
100028,Boaz,Isobel,383 Elgin St,Brantford,ON,Canada,$200 ,Professional Member,None,,,,,100028,Isobel Boaz,383 Elgin St Brantford ON Canada N3S 7P5,200,3/26/2021
100029,Koshy,Rene,8 Temasek Boulevard #7,Singapore,,Singapore,$200 ,Professional Member,None,,,,,100029,Rene Koshy,8 Temasek Boulevard #7 Singapore  Singapore ,200,4/29/2021
100030,Lee,Chie Shin,P O Box 112-066,Auckland,,New Zealand,$100 ,Student Associate,CSCP,,,,,100030,Chie Shin Lee,P O Box 112-066 Auckland  New Zealand 1061,100,6/28/2021
100031,Sanseau,Jose,5 rue de la Division Leclerc,78350 LES LOGES EN JOSAS,,France,$100 ,Student Associate,None,,,,,100031,Jose Sanseau,5 rue de la Division Leclerc 78350 LES LOGES EN JOSAS  France ,100,4/30/2021
100032,Ciorma,Frans,775 Steeles Ave West Apt. 1111,Toronto,ON,Canada,$100 ,Student Associate,None,,,,,100032,Frans Ciorma,775 Steeles Ave West Apt. 1111 Toronto ON Canada M2R 2S8,100,8/1/2021
100033,Peron,Jasja,Rue des Saars 87,Neuch�tel,,Switzerland,$200 ,Professional Member,None,,,,,100033,Jasja Peron,Rue des Saars 87 Neuch�tel  Switzerland 2000,200,9/7/2022
100034,Worrell,Travis,45 Kensington Rd,Essex,,United Kingdom,$200 ,Professional Member,None,,,,,100034,Travis Worrell,45 Kensington Rd Essex  United Kingdom RM7 9DA,200,8/8/2021
100035,Bianco,Richard,13459 Cedar Way,Maple Ridge,BC,Canada,$200 ,Professional Member,None,,,,,100035,Richard Bianco,13459 Cedar Way Maple Ridge BC Canada V4R 2T4,200,1/2/2023
100036,McKnight,Gangesh,Rossinistraat 18,4561 VP Hulst,,Netherlands,$100 ,Student Associate,CSCP,,,,,100036,Gangesh McKnight,Rossinistraat 18 4561 VP Hulst  Netherlands ,100,6/5/2021
100037,Bricks,Shari,1370 Don Mills Rd,Toronto,ON,Canada,$200 ,Professional Member,None,,,,,100037,Shari Bricks,1370 Don Mills Rd Toronto ON Canada M3B 3N7,200,3/10/2020
